Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Cost,Average eCPI
2019-01-16,resultrix,Ad2click_int,Resultrix_Digibank_Android_Install_Networks_Ad2click_Age IncomeOK_CPSA_AllCities,N/A,6083,N/A,361,0.0593,3527,241,0.6676,N/A,N/A
2019-01-16,resultrix,Ad2click_int,Resultrix_Digibank_Android_Install_Networks_Ad2click_Age IncomeOkCPSA_Shopping_Girl_AllCities,N/A,12003,N/A,207,0.0172,3126,138,0.6667,N/A,N/A
2019-01-16,None,CAP,None,N/A,41,N/A,2,0.0488,31,2,1.0000,N/A,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_BigBasket_Eyeota_7Cities_30-11-18-BigBasket_2400_23-11-18,285,3,0.0105,0,0.0000,0,0,N/A,0.7752,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_BigBasket_Eyeota_7Cities_30-11-18-BigBasket_5%_Cashback_23-11-18,140,N/A,N/A,1,N/A,21,1,1.0000,0.6318,0.6318
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Corporate_Parks_21-11-18-Image Ad - C36 - 90 Sec A/C Opening - Digor & Sachin - Thums Up,9040,92,0.0102,2,0.0217,4,0,0.0000,11.2681,5.6340
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Corporate_Parks_21-11-18-Image Ad - C41 - Paperless Banking - Digor & Sachin showing phone screen,1712,29,0.0169,0,0.0000,0,0,N/A,1.7843,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Corporate_Parks_21-11-18-Video Ad - C58 - All Rounder - Sachin With 5 Phones,447,13,0.0291,0,0.0000,0,0,N/A,0.8995,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_ITPL_Kiosk_Bengaluru_31-10-18-90 Sec A/C Opening - Digor & Sachin - Thums Up,6186,64,0.0103,9,0.1406,48,4,0.4444,11.3213,1.2579
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_ITPL_Kiosk_Bengaluru_31-10-18-Gear_Carousel_9-1-19,2263,44,0.0194,3,0.0682,8,0,0.0000,1.7654,0.5885
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_ITPL_Kiosk_Bengaluru_31-10-18-ITPB_Bengaluru_Kiosk_Food_31-10-18,67,N/A,N/A,0,N/A,0,0,N/A,0.0727,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_ITPL_Kiosk_Bengaluru_31-10-18-More_to_Life_Carousel_9-1-19,1314,16,0.0122,0,0.0000,0,0,N/A,0.9581,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Custom_Audience_PL_Traffic_26+_6Cities-Bucket_List_Bike,1302,13,0.0100,0,0.0000,0,0,N/A,3.4962,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Custom_Audience_PL_Traffic_26+_6Cities-Bucket_List_Maps,1359,6,0.0044,0,0.0000,0,0,N/A,4.0842,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Custom_Audience_PL_Traffic_26+_6Cities-Bucket_List_video,228,4,0.0175,0,0.0000,0,0,N/A,0.8437,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Custom_Audience_PL_Traffic_26+_6Cities-Bucket_list_In_Budget,2492,17,0.0068,0,0.0000,0,0,N/A,7.4516,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Custom_Audience_PL_Traffic_26+_6Cities-Pre-Qualified_Personal_Loan,392,N/A,N/A,0,N/A,0,0,N/A,0.9647,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Eyeota_Segments_7Cities-Image Ad - C36 - 90 Sec A/C Opening - Digor & Sachin - Thums Up,31,N/A,N/A,0,N/A,0,0,N/A,0.0916,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Eyeota_Segments_7Cities-Video Ad - C58 - All Rounder - Sachin With 5 Phones,2,N/A,N/A,0,N/A,0,0,N/A,0.0025,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_IT_Companies_Employers_5Cities-Gear_Carousel_10-1-19,1019,2,0.0020,0,0.0000,0,0,N/A,1.2268,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_IT_Companies_Employers_5Cities-Image Ad - C36 - 90 Sec A/C Opening - Digor & Sachin - Thums Up,3621,19,0.0052,1,0.0526,8,1,1.0000,3.8541,3.8541
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_IT_Companies_Employers_5Cities-Image Ad - C41 - Paperless Banking - Digor & Sachin showing phone screen,227,1,0.0044,0,0.0000,0,0,N/A,0.1614,N/A
2019-01-16,resultrix,Facebook Ads,"Resultrix_Digibank_Android_Install_Prime_Facebook_IT_Companies_Employers_5Cities-Image Ad - C44 - Zero Balance A/C - Seasaw - One Side Digor One side ""0""",1212,5,0.0041,1,0.2000,1,0,0.0000,3.2906,3.2906
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_High_Income_1%_7Cities-Image Ad - C36 - 90 Sec A/C Opening - Digor & Sachin - Thums Up,11490,84,0.0073,32,0.3810,336,23,0.7188,41.6481,1.3015
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_High_Income_1%_7Cities-Image Ad - C41 - Paperless Banking - Digor & Sachin showing phone screen,411,3,0.0073,1,0.3333,2,0,0.0000,1.8230,1.8230
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_High_Income_1%_7Cities-Video Ad - C58 - All Rounder - Sachin With 5 Phones,97,1,0.0103,0,0.0000,0,0,N/A,0.2818,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_High_Income_1%_7Cities-Video Ad: UPI Launch - Sachin,8,N/A,N/A,0,N/A,0,0,N/A,0.0123,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_Quad1_1%_2Cities-Image Ad - C36 - 90 Sec A/C Opening - Digor & Sachin - Thums Up,356,5,0.0140,1,0.2000,3,0,0.0000,1.7355,1.7355
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_Quad1_1%_2Cities-Image Ad - C41 - Paperless Banking - Digor & Sachin showing phone screen,25,N/A,N/A,0,N/A,0,0,N/A,0.1524,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_Quad1_1%_2Cities-Safest_Bank_in_Asia_7-1-19,603,N/A,N/A,0,N/A,0,0,N/A,2.0836,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_Quad1_1%_2Cities-Video Ad - C58 - All Rounder - Sachin With 5 Phones,3,N/A,N/A,0,N/A,0,0,N/A,0.0038,N/A
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_Quad1_1%_6Cities-Image Ad - C36 - 90 Sec A/C Opening - Digor & Sachin - Thums Up,4889,31,0.0063,11,0.3548,83,10,0.9091,16.8877,1.5352
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_Quad1_1%_6Cities-Image Ad - C41 - Paperless Banking - Digor & Sachin showing phone screen,84,N/A,N/A,1,N/A,24,1,1.0000,0.3933,0.3933
2019-01-16,resultrix,Facebook Ads,Resultrix_Digibank_Android_Install_Prime_Facebook_Lookalike_Quad1_1%_6Cities-Safest_Bank_in_Asia_7-1-19,19369,50,0.0026,32,0.6400,252,16,0.5000,40.9270,1.2790
